Source;Target;Weight
CHINA;USA;21
UNITED KINGDOM;USA;21
GERMANY;USA;21
SPAIN;USA;5
AUSTRALIA;USA;11
NETHERLANDS;USA;19
FINLAND;USA;3
JAPAN;USA;2
KOREA;USA;10
CANADA;USA;12
BRAZIL;USA;1
ISRAEL;USA;7
GREECE;USA;1
ROMANIA;USA;12
BELGIUM;USA;5
INDIA;USA;1
HONG KONG;USA;3
PORTUGAL;USA;2
SINGAPORE;USA;7
SWEDEN;USA;1
DENMARK;USA;8
SWITZERLAND;USA;4
TURKEY;USA;4
FRANCE;USA;3
CHILE;USA;2
SLOVENIA;USA;2
IRELAND;USA;1
MEXICO;USA;2
POLAND;USA;2
SAUDI ARABIA;USA;2
IRAN;USA;1
NEW ZEALAND;USA;1
EGYPT;USA;1
CYPRUS;USA;2
VENEZUELA;USA;1
USA;CHINA;21
UNITED KINGDOM;CHINA;5
GERMANY;CHINA;3
SPAIN;CHINA;4
AUSTRALIA;CHINA;4
NETHERLANDS;CHINA;1
JAPAN;CHINA;6
KOREA;CHINA;1
CANADA;CHINA;4
GREECE;CHINA;1
BELGIUM;CHINA;1
HONG KONG;CHINA;5
SINGAPORE;CHINA;1
PAKISTAN;CHINA;1
NORWAY;CHINA;1
NEW ZEALAND;CHINA;1
USA;UNITED KINGDOM;21
CHINA;UNITED KINGDOM;5
GERMANY;UNITED KINGDOM;5
SPAIN;UNITED KINGDOM;7
AUSTRALIA;UNITED KINGDOM;19
NETHERLANDS;UNITED KINGDOM;15
FINLAND;UNITED KINGDOM;6
ITALY;UNITED KINGDOM;2
CANADA;UNITED KINGDOM;6
BRAZIL;UNITED KINGDOM;4
ISRAEL;UNITED KINGDOM;5
ROMANIA;UNITED KINGDOM;1
BELGIUM;UNITED KINGDOM;5
SINGAPORE;UNITED KINGDOM;1
SWEDEN;UNITED KINGDOM;3
DENMARK;UNITED KINGDOM;3
MALAYSIA;UNITED KINGDOM;4
SWITZERLAND;UNITED KINGDOM;2
TURKEY;UNITED KINGDOM;6
FRANCE;UNITED KINGDOM;4
AUSTRIA;UNITED KINGDOM;1
CHILE;UNITED KINGDOM;5
PAKISTAN;UNITED KINGDOM;1
MEXICO;UNITED KINGDOM;1
SAUDI ARABIA;UNITED KINGDOM;3
SERBIA;UNITED KINGDOM;2
ECUADOR;UNITED KINGDOM;1
EGYPT;UNITED KINGDOM;1
SOUTH AFRICA;UNITED KINGDOM;1
CYPRUS;UNITED KINGDOM;1
JORDAN;UNITED KINGDOM;1
SRI LANKA;UNITED KINGDOM;1
URUGUAY;UNITED KINGDOM;1
SLOVAKIA;UNITED KINGDOM;1
USA;GERMANY;21
CHINA;GERMANY;3
UNITED KINGDOM;GERMANY;5
SPAIN;GERMANY;3
AUSTRALIA;GERMANY;1
NETHERLANDS;GERMANY;13
CANADA;GERMANY;1
ISRAEL;GERMANY;2
GREECE;GERMANY;2
ROMANIA;GERMANY;5
BELGIUM;GERMANY;2
INDIA;GERMANY;1
HONG KONG;GERMANY;1
DENMARK;GERMANY;2
SWITZERLAND;GERMANY;2
TURKEY;GERMANY;1
FRANCE;GERMANY;1
IRELAND;GERMANY;3
THAILAND;GERMANY;2
POLAND;GERMANY;1
NORWAY;GERMANY;1
COLOMBIA;GERMANY;1
USA;SPAIN;5
