Source;Target;weight
OSHIMA R;OSHIMA J;45839.00
NGUYEN-NGOC AV;LAW ELC;44686.00
SHAH M;FOSTER A;4.166666666666667
TSIOTAKIS P;JIMOYIANNIS A;4.00
NOUSIAINEN M;KOPONEN IT;4.00
OGATA H;MOURI K;3.8333333333333335
SAQR M;NOURI J;3.833333333333333
TRAUSAN-MATU S;DASCALU M;3.675
FINNIGAN KS;DALY AJ;44684.00
FOSTER A;BARANY A;3.1666666666666665
VEENSTRA R;DIJKSTRA JK;3.0666666666666664
HOPPE HU;HECKING T;3.00
TAN SC;LEE AVY;3.00
WOODLAND RH;MAZUR R;3.00
SLEEGERS PJC;MOOLENAAR NM;2.8333333333333335
MOOLENAAR NM;DALY AJ;2.783333333333333
LIOU YH;DALY AJ;27426.00
SHIN H;RYAN AM;27426.00
SOUSA-VIEIRA ME;FERNNDEZ-VEIGA M;2.583333333333333
LPEZ-ARDAO JC;FERNNDEZ-VEIGA M;2.583333333333333
SOUSA-VIEIRA ME;LPEZ-ARDAO JC;2.583333333333333
DAWSON S;BAKHARIA A;44683.00
TRAETTA M;ANNESE S;44683.00
XENOS M;KOULOCHERI E;44683.00
RAFAELI S;KENT C;44683.00
POQUET O;DAWSON S;44683.00
ZHANG J;SKRYABIN M;44683.00
WISE AF;CUI Y;44683.00
POPESCU E;BECHERU A;44683.00
TSUNAKAWA T;OSHIMA J;44683.00
SWIECKI Z;SHAFFER DW;16469.00
ZEINI S;HARRER A;2.3333333333333335
PREMCHAISWADI W;POROUHAN P;2.3333333333333335
RIENTIES B;JINDAL-SNAPE D;2.3333333333333335
UOSAKI N;MOURI K;2.3333333333333335
UOSAKI N;OGATA H;2.3333333333333335
VIBERG O;SAQR M;2.3333333333333335
MCNAMARA DS;DASCALU M;2.2666666666666666
LEE JS;CHO H;45689.00
DARADOUMIS T;CABALL S;45689.00
ZAPHIRIS P;LAGHOS A;2.00
SHAFFER DW;NASH P;2.00
YUSOF N;MANSUR ABF;2.00
SINGH A;KORKMAZ S;2.00
PAREDES WC;CHUNG KSK;2.00
LIN FL;CHIOU GF;2.00
JUNG J;HORTA H;2.00
MENCHACA MP;COWAN JE;2.00
LU J;CHURCHILL D;2.00
VOHRA N;THOMAS N;2.00
WLFER R;HEWSTONE M;2.00
RIENTIES B;HOSEIN A;2.00
WINDZIO M;VGTLE EM;2.00
PALMIERI R;GIGLIO C;2.00
VLACHOPOULOS P;JAN SK;2.00
BOUIHI B;BAHAJ M;2.00
HUANG T;CHEN B;2.00
OSHIMA J;OHSAKI A;2.00
MCNEILL KL;GONZLEZ-HOWARD M;2.00
SNCHEZ-RESTREPO H;LOU J;2.00
MORA N;DARADOUMIS T;34700.00
PALONEN T;HAKKARAINEN K;1.9166666666666665
SLEEGERS PJC;DALY AJ;1.8333333333333333
KIMMERLE J;CRESS U;1.8333333333333333
KLAMMA R;DERNTL M;1.8333333333333333
HOPPE HU;CHOUNTA IA;1.8333333333333333
MATSUZAWA Y;MA L;1.8333333333333333
SAQR M;FORS U;1.8333333333333333
RIENTIES B;NGUYEN Q;27395.00
TEMPELAAR D;RIENTIES B;44743.00
MALZAHN N;HOPPE HU;1.6666666666666665
NLSOY A;DE HAAN M;1.6666666666666665
WOOLCOTT G;CHAMBERLAIN D;1.6666666666666665
TALAFIAN H;BARANY A;1.6666666666666665
TALAFIAN H;FOSTER A;1.6666666666666665
SCHREURS B;DE LAAT M;1.642156862745098
GAY G;CHO H;1.5833333333333333
LI Y;HUANG R;1.5833333333333333
LIU Z;LIU S;20090.00
SCHWIER RA;DANIEL BK;44682.00
CHEN CM;CHANG CC;44682.00
MADYUN N;LEE M;44682.00
YUSOF N;ERLIN E;44682.00
RAHMAN AA;ERLIN E;44682.00
YUSOF N;RAHMAN AA;44682.00
SECUNDO G;GRIPPA F;44682.00
VERCELLONE-SMITH P;JABLOKOW K;44682.00
SUTHERS D;ROSEN D;44682.00
SWEET TM;JUNKER BW;44682.00
SHAFFER DW;ORRILL CH;44682.00
WLFER R;SCHEITHAUER H;44682.00
RIENTIES B;HLIOT Y;44682.00
YUDKEVICH M;DOKUKA S;44682.00
KUO CH;CHEN CM;44682.00
GROVES T;FIGUEROLA CG;44682.00
SPILLANE JP;SHIRRELL M;44682.00
OLIVEIRA L;FIGUEIRA;44682.00
LIN W;LEE M;44682.00
TONG Y;CHAN CKK;44682.00
RECHAVI A;KENT C;44682.00
KIM MK;KETENCI T;44682.00
TURKKILA M;LOMMI H;44682.00
WANG Y;KIM MK;44682.00
SPANOU K;BEKIARI A;44682.00
SHAFFER DW;ARASTOOPOUR G;16438.00
LYNCH CF;BARNES T;16438.00
KLAMMA R;CAO Y;1.4333333333333333
TRAUSAN-MATU S;MCNAMARA DS;44652.00
RAVID G;AVIV R;1.3333333333333333
ERLICH Z;AVIV R;1.3333333333333333
RAVID G;ERLICH Z;1.3333333333333333
YUAN YC;GAY G;1.3333333333333333
RUSSELL JL;COBURN CE;1.3333333333333333
GRIPPA F;DE MAGGIO M;1.3333333333333333
MOSKALIUK J;CRESS U;1.3333333333333333
MOSKALIUK J;KIMMERLE J;1.3333333333333333
LEE E;KIM M;1.3333333333333333
SCHNEIDER B;PEA R;1.3333333333333333
MOLANO A;JONES SM;1.3333333333333333
GILLANI N;EYNON R;1.3333333333333333
HECKING T;CHOUNTA IA;1.3333333333333333
REHM M;NOTTEN A;1.3333333333333333
NOURI J;FORS U;1.3333333333333333
MAMAS C;DALY AJ;1.3333333333333333
FERREIRA-PIRES O;FERNNDEZ-VEIGA M;1.3333333333333333
SOUSA-VIEIRA ME;FERREIRA-PIRES O;1.3333333333333333
LPEZ-ARDAO JC;FERREIRA-PIRES O;1.3333333333333333
DADO M;BODEMER D;1.3333333333333333
GALEY-HORN S;FERRARE JJ;1.3333333333333333
STEGLICH C;DIJKSTRA JK;1.2833333333333332
VEENSTRA R;STEGLICH C;1.2833333333333332
MORA N;CABALL S;45658.00
SHI C;LIU R;45658.00
SILVERMAN J;MATRANGA A;45658.00
SHAFFER DW;RUIS AR;44593.00
REBEDEA T;DASCALU M;1.1666666666666667
TRAUSAN-MATU S;REBEDEA T;1.1666666666666667
PALONEN T;HURME TR;1.1666666666666665
GRIPPA F;CORALLO A;1.1666666666666665
YEN NY;JIN Q;1.1666666666666665
ZIEBARTH S;HOPPE HU;1.1666666666666665
JOKSIMOVI S;GAEVI D;1.1666666666666665
TEDRE M;SAQR M;1.1666666666666665
WANG M;GUO W;1.1666666666666665
SHAH M;BARANY A;1.1666666666666665
VARTIAINEN H;SAQR M;1.1666666666666665
SU Z;LIU S;42005.00
SU Z;LIU Z;42005.00
SALMELA-ARO K;KIURU N;1.0833333333333333
JOKSIMOVI S;DAWSON S;1.0833333333333333
DEL FRESNO M;DALY AJ;1.0833333333333333
